time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
14663,0.0715,0.0144,0.4121,3.77,-3.31,0.56,0.4185,5.0513,idle
14683,0.0745,0.0116,0.4139,3.53,-4.09,0.73,0.4207,5.4512,idle
14703,0.0802,0.0074,0.4150,3.71,-2.18,0.78,0.4228,4.3745,idle
14723,0.0800,0.0028,0.4158,4.49,-0.44,0.17,0.4234,4.5135,idle
14743,0.0769,0.0104,0.4077,4.52,0.34,-0.40,0.4150,4.5489,idle
14763,0.0731,0.0120,0.4060,4.08,-0.89,-0.24,0.4127,4.1786,idle
14783,0.0769,0.0150,0.4042,3.51,-1.19,-0.35,0.4117,3.7245,idle
14803,0.0758,0.0144,0.4070,2.72,-0.72,-0.72,0.4142,2.9008,idle
14823,0.0742,0.0138,0.4110,2.26,-2.00,-0.58,0.4179,3.0728,idle
14843,0.0743,0.0154,0.4115,1.65,-2.26,-0.08,0.4184,2.7982,idle
14863,0.0760,0.0151,0.4160,0.58,-2.46,0.64,0.4232,2.6057,idle
14883,0.0773,0.0109,0.4166,0.53,-1.74,0.60,0.4239,1.9155,idle
14903,0.0737,0.0096,0.4246,0.84,-1.94,0.20,0.4310,2.1222,idle
14923,0.0730,0.0135,0.4250,0.72,-2.41,0.18,0.4315,2.5233,idle
14943,0.0742,0.0082,0.4202,1.42,-2.23,0.32,0.4267,2.6622,idle
14963,0.0758,0.0127,0.4241,1.85,-2.90,-0.23,0.4310,3.4467,idle
14983,0.0762,0.0140,0.4153,2.11,-3.25,-0.85,0.4224,3.9680,idle
15003,0.0785,0.0181,0.4208,2.00,-2.99,-0.64,0.4284,3.6559,idle
15023,0.0782,0.0193,0.4166,2.00,-2.50,-0.72,0.4243,3.2839,idle
15043,0.0796,0.0214,0.4131,2.34,-2.82,-1.11,0.4212,3.8309,idle
15063,0.0795,0.0215,0.4095,2.09,-3.66,-1.02,0.4177,4.3413,idle
15083,0.0767,0.0289,0.4061,1.92,-2.52,-0.73,0.4143,3.2532,idle
15103,0.0710,0.0201,0.4114,1.16,-1.98,-0.63,0.4180,2.3827,idle
15123,0.0737,0.0126,0.4126,1.73,-2.17,-0.89,0.4193,2.9087,idle
15143,0.0769,0.0159,0.4165,2.35,-2.96,-1.22,0.4238,3.9739,idle
15163,0.0729,0.0205,0.4116,1.89,-2.89,-1.05,0.4185,3.6083,idle
15183,0.0787,0.0221,0.4087,1.02,-1.62,0.00,0.4168,1.9145,idle
15203,0.0767,0.0217,0.4135,0.75,-0.75,0.52,0.4211,1.1784,idle
15223,0.0698,0.0194,0.4164,0.41,-1.48,0.11,0.4226,1.5409,idle
15243,0.0652,0.0182,0.4180,0.40,-2.92,-0.37,0.4234,2.9656,idle
15263,0.0743,0.0154,0.4135,0.44,-2.89,-0.24,0.4204,2.9295,idle
15283,0.0752,0.0197,0.4144,0.15,-1.53,-0.02,0.4217,1.5344,idle
15303,0.0725,0.0189,0.4161,0.41,-1.53,0.41,0.4228,1.6342,idle
15323,0.0741,0.0159,0.4146,0.90,-1.40,0.69,0.4214,1.8045,idle
15343,0.0717,0.0137,0.4202,1.19,-1.47,0.43,0.4265,1.9362,idle
15363,0.0779,0.0172,0.4167,2.05,-1.86,0.08,0.4243,2.7677,idle
15383,0.0774,0.0181,0.4130,1.76,-2.09,-0.12,0.4205,2.7335,idle
15403,0.0808,0.0193,0.4132,1.57,-2.38,-0.08,0.4215,2.8550,idle
15423,0.0786,0.0220,0.4114,1.28,-2.44,0.82,0.4194,2.8795,idle
15443,0.0811,0.0189,0.4153,0.55,-2.37,1.13,0.4235,2.6792,idle
15463,0.0743,0.0135,0.4189,0.24,-2.17,0.43,0.4257,2.2231,idle
15483,0.0714,0.0111,0.4204,0.64,-3.02,-0.32,0.4266,3.1067,idle
15503,0.0765,0.0121,0.4153,0.63,-3.24,0.43,0.4225,3.3242,idle
15523,0.0804,0.0125,0.4108,0.96,-1.40,0.26,0.4188,1.7220,idle
15543,0.0774,0.0190,0.4130,0.43,-0.37,0.35,0.4206,0.6636,idle
15563,0.0782,0.0228,0.4152,0.35,-0.61,-0.15,0.4231,0.7208,idle
15583,0.0736,0.0225,0.4070,-0.34,-0.89,-0.56,0.4142,1.1027,idle
15603,0.0741,0.0197,0.4122,-0.41,-2.17,-0.84,0.4193,2.3611,idle
15623,0.0723,0.0176,0.4128,-0.38,-3.39,-1.05,0.4195,3.5697,idle
15643,0.0819,0.0201,0.4120,-0.93,-2.43,-1.22,0.4205,2.8726,idle
15663,0.0786,0.0226,0.4174,-0.93,-1.30,-0.73,0.4253,1.7574,idle
15683,0.0769,0.0162,0.4216,-0.96,-0.55,-0.40,0.4289,1.1768,idle
15703,0.0773,0.0162,0.4197,-0.58,-0.56,-0.90,0.4270,1.2112,idle
15723,0.0741,0.0146,0.4146,0.08,-0.43,-1.47,0.4214,1.5286,idle
15743,0.0726,0.0127,0.4155,0.53,-0.05,-1.44,0.4220,1.5321,idle
15763,0.0665,0.0166,0.4193,0.37,0.21,-1.04,0.4249,1.1215,idle
15783,0.0686,0.0164,0.4178,0.61,-0.47,-0.26,0.4238,0.8150,idle
15803,0.0764,0.0194,0.4144,0.52,-0.32,0.40,0.4219,0.7279,idle
15823,0.0767,0.0154,0.4109,0.67,0.17,0.75,0.4183,1.0194,idle
15843,0.0742,0.0146,0.4187,0.93,0.18,0.75,0.4255,1.2085,idle
15863,0.0754,0.0175,0.4142,0.99,-1.10,0.47,0.4214,1.5547,idle
15883,0.0731,0.0198,0.4160,0.21,-1.54,0.14,0.4229,1.5628,idle
15903,0.0720,0.0190,0.4143,-0.41,-2.17,0.00,0.4210,2.2068,idle
15923,0.0759,0.0173,0.4135,-1.04,-2.03,0.89,0.4207,2.4464,idle
