time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
20883,0.1913,-0.0526,0.3868,3.56,-4.52,-2.78,0.4347,6.3872,idle
20903,0.1970,-0.0471,0.3817,3.18,-4.96,-3.63,0.4321,6.9215,idle
20923,0.2008,-0.0438,0.3993,2.55,-3.28,-5.10,0.4491,6.5785,idle
20943,0.2048,-0.0425,0.4078,2.81,-0.32,-7.97,0.4584,8.4562,idle
20963,0.1940,-0.0396,0.3986,2.78,2.95,-7.59,0.4450,8.6010,idle
20983,0.1893,-0.0424,0.3969,2.06,5.10,-4.69,0.4417,7.2262,idle
21003,0.1824,-0.0479,0.4048,2.02,5.36,-3.42,0.4465,6.6688,idle
21023,0.1747,-0.0497,0.4121,2.41,1.10,-3.83,0.4504,4.6596,idle
21043,0.1876,-0.0455,0.3899,2.06,-3.01,-2.90,0.4351,4.6592,idle
21063,0.2063,-0.0541,0.3774,1.40,-0.08,-2.79,0.4335,3.1280,idle
21083,0.1980,-0.0635,0.3868,1.11,3.45,-3.28,0.4392,4.8910,idle
21103,0.1917,-0.0607,0.3927,1.71,3.19,-3.45,0.4412,5.0010,idle
21123,0.1860,-0.0565,0.3882,1.73,2.29,-3.97,0.4342,4.8967,idle
21143,0.1875,-0.0475,0.3923,1.65,2.60,-4.34,0.4374,5.3155,idle
21163,0.1747,-0.0438,0.3884,1.80,2.85,-4.17,0.4281,5.3636,idle
21183,0.1732,-0.0432,0.3855,2.37,1.13,-2.96,0.4248,3.9558,idle
21203,0.1832,-0.0428,0.3802,2.43,1.30,-1.59,0.4243,3.1777,idle
21223,0.1815,-0.0448,0.3861,1.82,3.25,-1.01,0.4290,3.8589,idle
21243,0.1786,-0.0496,0.3838,1.79,2.09,-1.18,0.4262,2.9912,idle
21263,0.1844,-0.0438,0.3795,1.04,0.93,-1.24,0.4242,1.8640,idle
21283,0.1846,-0.0475,0.3821,-0.09,1.85,-0.98,0.4270,2.0918,idle
21303,0.1926,-0.0498,0.3901,0.18,2.50,-1.42,0.4379,2.8842,idle
21323,0.1830,-0.0465,0.3867,-0.29,3.57,-1.22,0.4303,3.7867,idle
21343,0.1708,-0.0472,0.3933,-0.81,2.38,-1.22,0.4314,2.7962,idle
21363,0.1708,-0.0450,0.3951,-0.24,-0.17,-1.19,0.4328,1.2272,idle
21383,0.1783,-0.0457,0.3878,-0.20,-0.73,-1.11,0.4293,1.3485,idle
21403,0.1841,-0.0460,0.3916,-0.79,0.27,-0.27,0.4352,0.8839,idle
21423,0.1855,-0.0499,0.3982,-0.41,1.66,-1.40,0.4421,2.2163,idle
21443,0.1709,-0.0415,0.3959,0.05,0.32,-1.44,0.4332,1.4712,idle
21463,0.1791,-0.0442,0.3904,-0.17,-1.89,-0.85,0.4318,2.0840,idle
21483,0.1788,-0.0476,0.3970,-0.11,-1.62,-0.56,0.4380,1.7174,idle
21503,0.1785,-0.0421,0.4010,0.37,-1.04,-0.75,0.4409,1.3310,idle
21523,0.1705,-0.0365,0.3960,0.00,-1.48,-0.40,0.4327,1.5332,idle
21543,0.1669,-0.0378,0.4014,-0.23,-4.60,-0.21,0.4363,4.6061,idle
21563,0.1768,-0.0361,0.4032,0.05,-8.44,-0.41,0.4417,8.4529,idle
21583,0.1865,-0.0325,0.4061,-0.63,-6.50,-2.72,0.4481,7.0765,idle
21603,0.2021,-0.0345,0.4053,-1.21,-2.93,-5.65,0.4542,6.4774,idle
21623,0.2052,-0.0402,0.3943,-1.59,5.36,-6.32,0.4463,8.4373,idle
21643,0.1874,-0.0502,0.4088,-1.37,9.36,-5.83,0.4525,11.1125,idle
21663,0.1782,-0.0498,0.4103,-0.82,7.44,-5.40,0.4501,9.2288,idle
21683,0.1724,-0.0491,0.3984,0.24,3.77,-6.32,0.4369,7.3641,idle
