time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
11123,0.0936,-0.0004,0.4119,0.79,-2.64,1.73,0.4224,3.2531,idle
11143,0.0964,-0.0007,0.4164,1.16,-1.80,1.42,0.4274,2.5706,idle
11163,0.0996,-0.0004,0.4153,1.59,-2.17,0.78,0.4271,2.7977,idle
11183,0.0985,0.0048,0.4166,1.92,-1.95,0.24,0.4281,2.7530,idle
11203,0.0990,0.0044,0.4115,1.54,-2.27,0.72,0.4233,2.8403,idle
11223,0.1052,0.0048,0.4110,1.48,-1.80,0.63,0.4243,2.4146,idle
11243,0.1016,0.0082,0.4122,0.95,-0.34,0.29,0.4246,1.0454,idle
11263,0.0929,0.0027,0.4143,0.73,-0.95,0.29,0.4246,1.2317,idle
11283,0.0930,-0.0022,0.4150,1.07,-2.52,0.52,0.4253,2.7852,idle
11303,0.0935,-0.0010,0.4181,1.68,-2.93,-0.29,0.4284,3.3907,idle
11323,0.0995,0.0039,0.4207,2.34,-3.05,-0.31,0.4323,3.8566,idle
11343,0.0974,0.0100,0.4155,2.11,-3.21,-0.32,0.4269,3.8498,idle
11363,0.0978,0.0035,0.4121,2.06,-3.34,-0.23,0.4236,3.9344,idle
11383,0.0964,0.0001,0.4183,2.63,-3.18,-0.12,0.4293,4.1225,idle
11403,0.0952,0.0038,0.4137,2.82,-4.23,-0.76,0.4245,5.1424,idle
11423,0.0973,0.0035,0.4103,3.04,-3.80,-0.99,0.4217,4.9666,idle
11443,0.1019,0.0068,0.4054,2.66,-3.22,-0.85,0.4181,4.2621,idle
11463,0.0964,0.0065,0.4067,2.03,-2.98,-1.18,0.4181,3.7905,idle
11483,0.0959,0.0081,0.4169,1.89,-3.21,-1.16,0.4278,3.8999,idle
11503,0.0939,0.0073,0.4095,1.77,-4.24,-1.11,0.4202,4.7321,idle
11523,0.0969,0.0040,0.4069,1.51,-3.42,-0.73,0.4183,3.8101,idle
11543,0.0967,0.0074,0.4114,1.34,-2.53,-0.40,0.4227,2.8958,idle
11563,0.0935,0.0073,0.4110,1.47,-2.15,-0.09,0.4216,2.6059,idle
11583,0.0912,0.0068,0.4149,1.21,-2.44,-0.03,0.4249,2.7245,idle
11603,0.0923,0.0074,0.4131,1.04,-3.74,0.29,0.4233,3.8927,idle
11623,0.0975,0.0085,0.4097,1.57,-4.08,0.29,0.4212,4.3788,idle
11643,0.0959,0.0100,0.4130,1.36,-3.11,0.26,0.4241,3.4079,idle
11663,0.1006,0.0095,0.4156,1.91,-3.62,0.49,0.4278,4.1198,idle
11683,0.0986,0.0104,0.4108,2.00,-3.66,0.49,0.4226,4.2029,idle
11703,0.1022,0.0093,0.4132,1.91,-2.87,0.02,0.4258,3.4468,idle
11723,0.0991,0.0077,0.4128,2.09,-2.03,-0.02,0.4246,2.9152,idle
11743,0.1011,0.0106,0.4083,1.77,-1.45,0.08,0.4208,2.2904,idle
11763,0.0964,0.0095,0.4072,1.24,-1.60,-0.08,0.4186,2.0261,idle
11783,0.0935,0.0089,0.4048,0.81,-1.45,0.11,0.4155,1.6643,idle
