time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
81681,0.2371,-0.0723,0.3658,0.66,0.14,-2.79,0.4419,2.8733,idle
81701,0.2269,-0.0685,0.3702,0.78,1.66,-2.55,0.4396,3.1426,idle
81721,0.2156,-0.0728,0.3801,0.61,0.66,-2.60,0.4430,2.7459,idle
81741,0.2162,-0.0758,0.3865,0.38,-2.50,-3.73,0.4493,4.5046,idle
81761,0.2195,-0.0822,0.3788,0.93,-3.01,-3.73,0.4454,4.8775,idle
81781,0.2159,-0.0706,0.3757,1.07,-1.77,-2.56,0.4391,3.2950,idle
81801,0.2098,-0.0728,0.3760,0.52,-3.15,-1.86,0.4367,3.6919,idle
81821,0.2169,-0.0735,0.3787,0.63,-4.23,-2.27,0.4425,4.8426,idle
81841,0.2241,-0.0762,0.3806,0.92,-2.37,-2.38,0.4482,3.4801,idle
81861,0.2257,-0.0732,0.3842,1.16,-1.68,-3.02,0.4515,3.6475,idle
81881,0.2222,-0.0679,0.3741,0.93,-1.57,-3.21,0.4404,3.6904,idle
81901,0.2239,-0.0674,0.3666,0.64,0.18,-3.19,0.4348,3.2598,idle
81921,0.2152,-0.0706,0.3826,0.52,0.84,-2.17,0.4446,2.3821,idle
81941,0.2094,-0.0795,0.3909,0.96,-2.24,-2.03,0.4505,3.1757,idle
81961,0.2136,-0.0676,0.3763,0.93,-4.69,-1.95,0.4380,5.1628,idle
81981,0.2229,-0.0699,0.3660,0.46,-3.05,-0.78,0.4342,3.1843,idle
82001,0.2202,-0.0664,0.3710,0.38,-1.05,0.60,0.4365,1.2688,idle
82021,0.2074,-0.0691,0.3748,0.14,-1.79,0.58,0.4339,1.8831,idle
82041,0.2050,-0.0714,0.3743,-0.46,-5.45,0.27,0.4326,5.4765,idle
82061,0.2300,-0.0717,0.3691,-0.24,-4.99,-0.24,0.4408,5.0043,idle
82081,0.2247,-0.0752,0.3695,0.37,-1.37,0.27,0.4390,1.4484,idle
82101,0.2135,-0.0731,0.3783,0.70,-0.69,0.92,0.4405,1.3433,idle
82121,0.2136,-0.0748,0.3748,1.07,-2.20,0.58,0.4378,2.5124,idle
82141,0.2261,-0.0712,0.3732,1.01,-2.75,-0.08,0.4421,2.9280,idle
82161,0.2274,-0.0775,0.3732,1.37,-0.81,0.12,0.4438,1.5993,idle
82181,0.2216,-0.0725,0.3647,1.18,-1.08,0.26,0.4329,1.6200,idle
82201,0.2218,-0.0739,0.3760,0.79,-0.98,0.41,0.4427,1.3247,idle
82221,0.2213,-0.0740,0.3856,0.99,-0.70,-0.21,0.4507,1.2344,idle
82241,0.2225,-0.0704,0.3774,0.78,-0.24,0.26,0.4438,0.8563,idle
82261,0.2206,-0.0780,0.3827,1.45,-1.54,0.24,0.4485,2.1310,idle
82281,0.2225,-0.0779,0.3811,1.98,-1.83,-0.40,0.4481,2.7301,idle
