time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
11823,0.0070,0.0414,0.4050,4.89,1.50,2.29,0.4072,5.5992,idle
11843,0.0034,0.0453,0.4061,3.57,0.63,2.47,0.4087,4.3900,idle
11863,0.0031,0.0496,0.4038,1.37,-1.19,2.38,0.4069,2.9964,idle
11883,0.0112,0.0463,0.4003,-1.28,-2.37,1.45,0.4031,3.0575,idle
11903,0.0126,0.0428,0.4028,-2.46,-1.63,0.81,0.4053,3.0603,idle
11923,0.0048,0.0364,0.4139,-2.31,-1.50,1.44,0.4156,3.1004,idle
11943,-0.0056,0.0352,0.4141,-2.06,-2.20,2.05,0.4156,3.6423,idle
11963,-0.0048,0.0321,0.4167,-2.93,-4.49,1.88,0.4180,5.6803,idle
11983,0.0049,0.0294,0.4120,-3.42,-5.45,1.40,0.4131,6.5860,idle
12003,0.0178,0.0262,0.4161,-2.44,-2.72,1.54,0.4173,3.9661,idle
12023,0.0240,0.0297,0.4094,-1.97,0.79,1.36,0.4112,2.5210,idle
12043,0.0255,0.0308,0.4062,-0.46,3.59,0.76,0.4082,3.6966,idle
12063,0.0043,0.0356,0.4109,-0.20,3.39,-0.34,0.4125,3.4117,idle
12083,-0.0002,0.0374,0.4152,-0.32,-0.44,-0.09,0.4168,0.5543,idle
12103,-0.0009,0.0389,0.4209,-1.18,-3.66,-0.47,0.4227,3.8771,idle
12123,0.0240,0.0378,0.4126,-1.60,-3.15,-0.75,0.4150,3.6084,idle
12143,0.0314,0.0369,0.4097,0.02,1.31,-1.68,0.4125,2.1318,idle
12163,0.0201,0.0433,0.4052,0.63,4.41,-2.38,0.4080,5.0529,idle
12183,0.0017,0.0479,0.4165,0.73,3.27,-2.72,0.4192,4.3124,idle
12203,-0.0073,0.0449,0.4226,0.61,-0.60,-1.97,0.4251,2.1462,idle
12223,-0.0039,0.0386,0.4247,0.75,-3.45,-1.10,0.4264,3.6977,idle
12243,0.0015,0.0399,0.4161,0.72,-4.26,-0.12,0.4181,4.3213,idle
12263,0.0167,0.0469,0.4103,0.63,-3.05,-0.44,0.4133,3.1482,idle
12283,0.0153,0.0479,0.4200,0.23,-0.98,-0.78,0.4230,1.2702,idle
12303,0.0072,0.0438,0.4182,0.47,0.20,-0.82,0.4206,0.9711,idle
12323,-0.0004,0.0432,0.4230,1.28,-0.41,-1.40,0.4252,1.9461,idle
