time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
41663,0.2197,0.0498,0.3707,-2.52,-11.91,3.27,0.4338,12.6028,idle
41683,0.2474,0.0513,0.3583,-2.55,-12.52,3.44,0.4384,13.2298,idle
41703,0.2455,0.0410,0.3676,-2.00,-6.85,4.32,0.4439,8.3461,idle
41723,0.2277,0.0428,0.3794,-1.08,-9.56,2.17,0.4445,9.8598,idle
41743,0.2413,0.0548,0.3705,-0.52,-13.36,1.85,0.4455,13.4959,idle
41763,0.2563,0.0508,0.3706,-0.79,-9.66,1.18,0.4535,9.7677,idle
41783,0.2294,0.0465,0.3802,-0.21,-8.40,0.18,0.4465,8.4017,idle
41803,0.2301,0.0520,0.3851,0.85,-12.20,-2.69,0.4516,12.5201,idle
41823,0.2482,0.0514,0.3752,2.20,-11.66,-1.80,0.4528,12.0054,idle
41843,0.2469,0.0520,0.3679,2.60,-6.47,-1.89,0.4462,7.2266,idle
41863,0.2365,0.0551,0.3683,2.55,-9.92,-1.66,0.4411,10.3802,idle
41883,0.2516,0.0525,0.3787,1.66,-11.89,-1.68,0.4576,12.1258,idle
41903,0.2576,0.0502,0.3757,0.69,-13.25,-2.43,0.4583,13.4899,idle
41923,0.2574,0.0548,0.3601,0.03,-14.23,-2.66,0.4460,14.4749,idle
41943,0.2550,0.0579,0.3524,-2.03,-13.25,-0.99,0.4388,13.4432,idle
41963,0.2704,0.0499,0.3541,-3.39,-9.94,-0.98,0.4483,10.5463,idle
41983,0.2712,0.0410,0.3756,-4.08,-3.98,-2.67,0.4651,6.2955,idle
42003,0.2517,0.0410,0.3705,-3.88,-2.21,-2.61,0.4498,5.1724,idle
42023,0.2533,0.0392,0.3566,-4.35,-2.44,-2.32,0.4391,5.5032,idle
42043,0.2557,0.0419,0.3612,-4.63,-1.62,-1.68,0.4445,5.1806,idle
42063,0.2588,0.0365,0.3611,-4.15,-2.09,-2.23,0.4457,5.1564,idle
42083,0.2506,0.0386,0.3643,-3.44,-1.77,-1.13,0.4438,4.0265,idle
42103,0.2600,0.0330,0.3628,-2.38,-3.39,0.02,0.4476,4.1425,idle
42123,0.2643,0.0323,0.3616,-1.30,-1.76,0.70,0.4490,2.2934,idle
42143,0.2583,0.0280,0.3687,-0.41,-2.79,0.61,0.4510,2.8894,idle
42163,0.2645,0.0375,0.3618,-0.72,-3.77,0.34,0.4498,3.8533,idle
42183,0.2683,0.0361,0.3640,-0.53,-2.66,0.50,0.4537,2.7561,idle
42203,0.2628,0.0380,0.3643,-0.14,-1.10,0.50,0.4508,1.2170,idle
42223,0.2616,0.0422,0.3646,0.03,0.17,0.89,0.4507,0.9018,idle
42243,0.2646,0.0381,0.3678,0.09,-0.85,0.26,0.4547,0.8982,idle
42263,0.2627,0.0363,0.3688,1.08,0.44,-1.01,0.4542,1.5448,idle
42283,0.2598,0.0396,0.3745,1.13,1.39,-1.15,0.4575,2.1255,idle
42303,0.2535,0.0444,0.3676,1.68,2.15,-0.05,0.4487,2.7306,idle
42323,0.2417,0.0398,0.3785,1.34,-0.15,-0.17,0.4509,1.3625,idle
42343,0.2385,0.0399,0.3733,0.90,-6.66,-0.20,0.4448,6.7201,idle
42363,0.2634,0.0392,0.3679,0.72,-7.15,-0.43,0.4542,7.1937,idle
42383,0.2673,0.0367,0.3617,0.93,-2.87,-0.53,0.4513,3.0645,idle
42403,0.2626,0.0376,0.3667,1.07,2.05,-1.05,0.4526,2.5372,idle
42423,0.2477,0.0366,0.3676,1.39,2.55,-0.89,0.4447,3.0356,idle
42443,0.2462,0.0426,0.3640,1.02,0.24,-0.78,0.4415,1.3085,idle
42463,0.2469,0.0417,0.3571,0.38,-0.58,-0.38,0.4361,0.7924,idle
42483,0.2522,0.0430,0.3594,-0.11,-1.07,-0.76,0.4411,1.3177,idle
42503,0.2528,0.0446,0.3636,-0.09,-1.34,-0.43,0.4451,1.4129,idle
42523,0.2526,0.0430,0.3638,-0.18,0.99,-0.52,0.4449,1.1348,idle
