time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
161841,0.0591,-0.0795,0.4364,5.10,23.40,-13.05,0.4475,27.2795,idle
161861,0.0127,-0.0680,0.4640,8.31,23.63,-9.30,0.4691,26.7203,idle
161881,-0.0245,-0.0533,0.4796,11.97,10.02,-5.31,0.4832,16.4864,idle
161901,0.0035,-0.0393,0.4658,13.50,-5.88,-2.82,0.4675,14.9891,idle
161921,0.0345,-0.0292,0.4429,14.38,-9.50,-1.37,0.4452,17.2887,idle
161941,0.0336,-0.0282,0.4402,14.40,-6.52,0.70,0.4424,15.8197,idle
161961,0.0385,-0.0311,0.4277,14.37,-1.37,2.11,0.4306,14.5849,idle
161981,0.0150,-0.0348,0.4175,13.95,1.60,3.16,0.4192,14.3971,idle
162001,-0.0045,-0.0388,0.4025,12.52,0.95,3.71,0.4044,13.0915,idle
162021,-0.0122,-0.0364,0.4011,10.56,0.26,4.43,0.4030,11.4580,idle
162041,0.0065,-0.0400,0.4004,9.10,1.54,3.85,0.4024,9.9988,idle
162061,0.0167,-0.0393,0.3938,7.95,6.63,4.37,0.3961,11.2356,idle
162081,0.0084,-0.0325,0.4014,6.49,11.54,4.66,0.4028,14.0357,idle
162101,-0.0101,-0.0343,0.4059,5.77,9.02,4.69,0.4075,11.6912,idle
162121,0.0065,-0.0312,0.4043,6.27,4.40,6.49,0.4056,10.0403,idle
162141,0.0082,-0.0348,0.4138,6.75,1.77,7.10,0.4154,9.9535,idle
162161,0.0249,-0.0347,0.4098,7.66,1.04,5.47,0.4120,9.4705,idle
162181,0.0383,-0.0242,0.3922,8.84,6.20,3.69,0.3948,11.4110,idle
162201,0.0282,-0.0204,0.3885,8.56,10.37,1.08,0.3901,13.4905,idle
162221,0.0222,-0.0143,0.3918,7.85,12.95,-2.02,0.3927,15.2727,idle
162241,0.0149,-0.0167,0.3888,7.16,17.33,-4.55,0.3894,19.2934,idle
162261,0.0082,-0.0164,0.4047,6.87,22.20,-7.34,0.4051,24.3701,idle
162281,-0.0132,-0.0098,0.3970,5.02,25.85,-8.40,0.3973,27.6373,idle
162301,-0.0400,-0.0105,0.4111,4.63,26.23,-7.47,0.4132,27.6604,idle
162321,-0.0576,-0.0089,0.4187,3.51,21.13,-4.79,0.4227,21.9495,idle
162341,-0.0626,-0.0105,0.4241,2.46,14.03,-2.38,0.4288,14.4420,idle
162361,-0.0530,-0.0059,0.4274,1.91,7.21,1.82,0.4307,7.6727,idle
162381,-0.0491,-0.0045,0.4276,1.16,3.13,4.56,0.4304,5.6551,idle
162401,-0.0292,-0.0018,0.4208,-0.34,0.81,5.94,0.4218,6.0032,idle
162421,0.0024,-0.0024,0.4104,-1.80,7.83,6.47,0.4104,10.3194,idle
162441,0.0002,0.0038,0.4141,-3.39,18.67,7.24,0.4141,20.3099,idle
162461,-0.0521,-0.0028,0.4418,-3.02,20.41,10.08,0.4448,22.9636,idle
162481,-0.1592,-0.0021,0.4559,2.21,-14.85,17.60,0.4829,23.1395,idle
162501,-0.0596,0.0005,0.4296,1.28,-50.18,16.09,0.4337,52.7156,idle
162521,0.0416,0.0042,0.3875,-2.21,-41.97,13.92,0.3897,44.2742,idle
162541,0.0238,0.0082,0.3693,-5.69,-17.16,16.08,0.3701,24.1941,idle
162561,0.0117,0.0002,0.3795,-9.16,-4.63,15.82,0.3797,18.8542,idle
162581,0.0034,-0.0085,0.4012,-10.47,-2.06,14.63,0.4014,18.1068,idle
162601,-0.0040,-0.0205,0.4248,-8.11,-3.54,14.18,0.4253,16.7162,idle
162621,-0.0050,-0.0118,0.4218,-6.26,-5.92,15.05,0.4219,17.3458,idle
162641,0.0065,-0.0127,0.4211,-4.14,-2.32,13.62,0.4214,14.4209,idle
162661,0.0000,-0.0099,0.4277,-3.36,1.86,11.85,0.4278,12.4543,idle
162681,-0.0104,-0.0148,0.4329,-2.26,5.40,12.73,0.4332,14.0157,idle
162701,-0.0023,-0.0123,0.4371,0.44,6.12,12.03,0.4373,13.5059,idle
162721,-0.0122,-0.0077,0.4319,3.42,4.99,11.08,0.4321,12.6283,idle
162741,-0.0284,-0.0057,0.4354,5.33,0.06,10.70,0.4364,11.9555,idle
162761,-0.0497,-0.0126,0.4423,6.61,-6.24,10.63,0.4452,13.9858,idle
162781,-0.0486,-0.0144,0.4308,7.76,-11.89,11.39,0.4338,18.2020,idle
162801,-0.0114,-0.0057,0.4102,7.56,-12.02,13.73,0.4104,19.7449,idle
162821,-0.0100,-0.0029,0.4098,7.08,-6.61,14.32,0.4099,17.2906,idle
162841,-0.0366,-0.0039,0.4261,7.60,-12.03,12.52,0.4277,18.9544,idle
162861,-0.0356,-0.0127,0.4406,8.76,-24.34,9.07,0.4422,27.4094,idle
162881,0.0250,-0.0071,0.4148,10.27,-27.56,8.87,0.4156,30.7190,idle
162901,0.0737,-0.0021,0.3916,10.23,-10.82,6.32,0.3985,16.1787,idle
162921,0.0576,0.0100,0.3881,9.48,5.54,4.63,0.3924,11.9164,idle
162941,0.0326,0.0129,0.3843,7.74,11.48,2.44,0.3859,14.0603,idle
162961,0.0046,0.0217,0.3933,5.44,9.19,2.08,0.3939,10.8776,idle
162981,-0.0145,0.0155,0.4028,4.06,0.82,2.82,0.4034,5.0149,idle
163001,-0.0101,0.0099,0.4058,3.25,-8.11,1.74,0.4060,8.9065,idle
163021,0.0189,0.0001,0.4025,1.86,-10.41,0.26,0.4029,10.5807,idle
163041,0.0492,-0.0012,0.3953,-0.60,-1.50,-2.23,0.3983,2.7498,idle
163061,0.0254,0.0020,0.3995,-2.34,10.15,-2.56,0.4003,10.7290,idle
163081,-0.0190,-0.0009,0.4207,-3.07,10.99,-2.52,0.4211,11.6874,idle
163101,-0.0338,-0.0042,0.4304,-2.82,2.49,-1.24,0.4318,3.9623,idle
163121,-0.0138,-0.0039,0.4178,-2.32,-4.99,-1.05,0.4181,5.6052,idle
163141,0.0037,-0.0001,0.4135,-1.02,-4.09,-1.16,0.4135,4.3742,idle
