time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
13383,0.1102,0.0077,0.4142,1.77,-2.27,0.95,0.4287,3.0343,idle
13403,0.1044,0.0095,0.4067,1.66,-1.10,0.29,0.4200,2.0154,idle
13423,0.1036,0.0044,0.4082,1.66,-3.02,-0.84,0.4212,3.5514,idle
13443,0.1132,0.0090,0.4163,1.82,-3.05,-1.68,0.4315,3.9300,idle
13463,0.1075,0.0155,0.4103,0.61,-0.73,-1.02,0.4244,1.3987,idle
13483,0.1001,0.0095,0.4095,0.64,0.21,-0.76,0.4217,1.0196,idle
13503,0.0902,0.0090,0.4072,0.84,-2.06,-1.10,0.4172,2.4822,idle
13523,0.0961,0.0100,0.4076,0.75,-2.34,-0.84,0.4189,2.5925,idle
13543,0.0974,0.0098,0.4098,0.96,-1.83,-0.81,0.4213,2.2218,idle
13563,0.0977,0.0095,0.4116,1.39,-1.02,0.29,0.4232,1.7495,idle
13583,0.0937,0.0090,0.4136,1.65,-3.04,0.67,0.4242,3.5214,idle
13603,0.1008,0.0170,0.4000,1.56,-4.67,0.37,0.4129,4.9381,idle
13623,0.1078,0.0214,0.4017,0.79,-4.40,0.49,0.4165,4.4947,idle
13643,0.1206,0.0167,0.4028,-0.44,-1.22,0.18,0.4208,1.3120,idle
13663,0.1091,0.0088,0.4080,-0.81,1.21,0.29,0.4224,1.4811,idle
13683,0.0970,0.0081,0.4106,-0.99,-2.95,-0.98,0.4220,3.2591,idle
13703,0.1080,0.0110,0.4059,-0.52,-3.57,-1.57,0.4202,3.9377,idle
13723,0.1072,0.0150,0.4133,-1.18,-1.63,-1.39,0.4273,2.4456,idle
13743,0.0980,0.0133,0.4081,-0.95,-1.11,-0.78,0.4199,1.6566,idle
13763,0.0933,0.0077,0.4069,-0.85,-2.02,0.08,0.4175,2.1905,idle
13783,0.0922,0.0106,0.4089,-0.44,-4.50,0.24,0.4193,4.5321,idle
13803,0.1064,0.0106,0.4082,-0.72,-3.74,-0.14,0.4220,3.8111,idle
13823,0.1046,0.0099,0.4062,-0.96,-1.83,0.61,0.4196,2.1574,idle
13843,0.1014,0.0138,0.4094,-1.11,-2.23,0.29,0.4220,2.5089,idle
13863,0.0966,0.0070,0.4154,-0.50,-3.31,0.05,0.4265,3.3514,idle
13883,0.1038,0.0077,0.4181,-0.53,-4.73,0.24,0.4308,4.7692,idle
13903,0.1083,0.0098,0.4147,-0.44,-3.15,-0.17,0.4287,3.1805,idle
13923,0.1096,0.0096,0.4165,-0.37,-2.66,0.38,0.4308,2.7087,idle
13943,0.1071,0.0089,0.4149,-0.41,-2.34,0.29,0.4286,2.3896,idle
13963,0.1129,0.0079,0.4141,-1.08,-1.39,-0.82,0.4293,1.9455,idle
13983,0.1028,0.0072,0.4135,-0.49,-1.28,-0.47,0.4261,1.4517,idle
14003,0.0955,0.0055,0.4193,0.60,-2.21,-0.61,0.4301,2.3724,idle
14023,0.1104,0.0062,0.4142,0.46,-3.71,-0.89,0.4287,3.8415,idle
14043,0.1086,0.0045,0.4160,0.60,-0.38,-0.02,0.4300,0.7074,idle
14063,0.1007,0.0048,0.4224,1.19,-0.23,0.26,0.4342,1.2401,idle
14083,0.0970,0.0076,0.4149,1.47,-3.45,0.14,0.4262,3.7513,idle
14103,0.1084,0.0065,0.4080,1.47,-2.95,-0.32,0.4222,3.3065,idle
14123,0.1072,0.0082,0.4093,1.11,-1.68,-0.24,0.4232,2.0303,idle
14143,0.1064,0.0090,0.4119,1.15,-0.21,-0.29,0.4255,1.2004,idle
